read from x2_15.txt(100000,)TPS: 62500, ETA: 1 minute, 19 seconds
TPS: 6154, ETA: 13 minutes, 18 seconds
TPS: 6157, ETA: 13 minutes, 17 seconds
TPS: 6159, ETA: 13 minutes, 17 seconds
TPS: 6161, ETA: 13 minutes, 17 seconds
TPS: 6163, ETA: 13 minutes, 16 seconds
TPS: 6165, ETA: 13 minutes, 16 seconds
TPS: 6167, ETA: 13 minutes, 16 seconds
TPS: 6169, ETA: 13 minutes, 15 seconds
TPS: 6171, ETA: 13 minutes, 15 seconds
TPS: 6173, ETA: 13 minutes, 14 seconds
TPS: 6172, ETA: 13 minutes, 14 seconds
TPS: 6177, ETA: 13 minutes, 14 seconds
TPS: 6179, ETA: 13 minutes, 13 seconds
TPS: 6181, ETA: 13 minutes, 13 seconds
TPS: 6183, ETA: 13 minutes, 13 seconds
TPS: 6185, ETA: 13 minutes, 12 seconds
TPS: 6187, ETA: 13 minutes, 12 seconds
TPS: 6189, ETA: 13 minutes, 12 seconds
TPS: 6191, ETA: 13 minutes, 12 seconds
TPS: 6192, ETA: 13 minutes, 11 seconds
TPS: 6194, ETA: 13 minutes, 11 seconds
TPS: 6196, ETA: 13 minutes, 11 seconds
TPS: 6198, ETA: 13 minutes, 10 seconds
TPS: 6200, ETA: 13 minutes, 10 seconds
TPS: 6202, ETA: 13 minutes, 10 seconds
TPS: 6159, ETA: 13 minutes, 15 seconds
TPS: 6187, ETA: 13 minutes, 11 seconds
TPS: 6196, ETA: 13 minutes, 10 seconds
TPS: 6198, ETA: 13 minutes, 10 seconds
TPS: 6200, ETA: 13 minutes, 9 seconds
TPS: 6201, ETA: 13 minutes, 9 seconds
TPS: 6203, ETA: 13 minutes, 9 seconds
TPS: 6205, ETA: 13 minutes, 9 seconds
TPS: 6207, ETA: 13 minutes, 8 seconds
TPS: 6208, ETA: 13 minutes, 8 seconds
TPS: 6210, ETA: 13 minutes, 8 seconds
TPS: 6212, ETA: 13 minutes, 7 seconds
TPS: 6213, ETA: 13 minutes, 7 seconds
TPS: 6210, ETA: 13 minutes, 7 seconds
TPS: 6216, ETA: 13 minutes, 7 seconds
TPS: 6218, ETA: 13 minutes, 6 seconds
TPS: 6220, ETA: 13 minutes, 6 seconds
TPS: 6221, ETA: 13 minutes, 6 seconds
TPS: 6222, ETA: 13 minutes, 5 seconds
TPS: 6224, ETA: 13 minutes, 5 seconds
TPS: 6225, ETA: 13 minutes, 5 seconds
